Date,AAPL_PX_LAST,SPX_PX_LAST
5/16/2014,80.9916,1877.86
5/19/2014,81.9513,1885.08
5/20/2014,81.9676,1872.83
5/21/2014,82.1845,1888.03
5/22/2014,82.3146,1892.49
5/23/2014,83.2444,1900.53
5/27/2014,84.8033,1911.91
5/28/2014,84.5837,1909.78
5/29/2014,86.1249,1920.03
5/30/2014,85.8022,1923.57
6/2/2014,85.2126,1924.97
6/3/2014,86.4176,1924.24
6/4/2014,87.4044,1927.88
6/5/2014,87.7474,1940.46
6/6/2014,87.5061,1949.44
6/9/2014,88.9063,1951.27
6/10/2014,89.4282,1950.79
6/11/2014,89.0581,1943.89
6/12/2014,87.5684,1930.11
6/13/2014,86.6101,1936.16
6/16/2014,87.4831,1937.78
6/17/2014,87.3692,1941.99
6/18/2014,87.4641,1956.98
6/19/2014,87.1604,1959.48
6/20/2014,86.259,1962.87
6/23/2014,86.1831,1962.61
6/24/2014,85.6613,1949.98
6/25/2014,85.7372,1959.53
6/26/2014,86.2496,1957.22
6/27/2014,87.2743,1960.96
6/30/2014,88.1757,1960.23
7/1/2014,88.7355,1973.32
7/2/2014,88.6976,1974.62
7/3/2014,89.2194,1985.44
7/7/2014,91.0583,1977.65
7/8/2014,90.4719,1963.71
7/9/2014,90.5099,1972.83
7/10/2014,90.173,1964.68
7/11/2014,90.3485,1967.57
7/14/2014,91.5156,1977.1
7/15/2014,90.4434,1973.28
7/16/2014,89.9311,1981.57
7/17/2014,88.3274,1958.12
7/18/2014,89.599,1978.22
7/21/2014,89.1331,1973.63
7/22/2014,89.8741,1983.53
7/23/2014,92.2178,1987.01
7/24/2014,92.0659,1987.98
7/25/2014,92.6742,1978.34
7/28/2014,93.9541,1978.91
7/29/2014,93.3469,1969.95
7/30/2014,93.1286,1970.07
7/31/2014,90.7091,1930.67
8/1/2014,91.212,1925.15
8/4/2014,90.6996,1938.99
8/5/2014,90.2537,1920.21
8/6/2014,90.1018,1920.24
8/7/2014,90.0923,1909.57
8/8/2014,90.3402,1931.59
8/11/2014,91.5322,1936.92
8/12/2014,91.5131,1933.75
8/13/2014,92.7241,1946.72
8/14/2014,92.9721,1955.18
8/15/2014,93.4298,1955.06
8/18/2014,94.555,1971.74
8/19/2014,95.8614,1981.6
8/20/2014,95.8995,1986.51
8/21/2014,95.909,1992.37
8/22/2014,96.6147,1988.4
8/25/2014,96.8244,1997.92
8/26/2014,96.2037,2000.02
8/27/2014,97.387,2000.12
8/28/2014,97.5015,1996.74
8/29/2014,97.7399,2003.37
9/2/2014,98.5027,2002.28
9/3/2014,94.3452,2000.72
9/4/2014,93.5633,1997.65
9/5/2014,94.3738,2007.71
9/8/2014,93.7921,2001.54
9/9/2014,93.4393,1988.44
9/10/2014,96.3095,1995.69
9/11/2014,96.7196,1997.45
9/12/2014,96.9389,1985.54
9/15/2014,96.9103,1984.13
9/16/2014,96.176,1998.98
9/17/2014,96.8626,2001.57
9/18/2014,97.0628,2011.36
9/19/2014,96.2714,2010.4
9/22/2014,96.3667,1994.29
9/23/2014,97.8734,1982.77
9/24/2014,97.0247,1998.3
9/25/2014,93.3249,1965.99
9/26/2014,96.0711,1982.85
9/29/2014,95.4609,1977.8
9/30/2014,96.0711,1972.29
10/1/2014,94.574,1946.16
10/2/2014,95.2606,1946.17
10/3/2014,94.9936,1967.9
10/6/2014,94.9936,1964.82
10/7/2014,94.164,1935.1
10/8/2014,96.1188,1968.89
10/9/2014,96.3286,1928.21
10/10/2014,96.0521,1906.13
10/13/2014,95.1748,1874.74
10/14/2014,94.164,1877.7
10/15/2014,93.0102,1862.49
10/16/2014,91.7897,1862.76
10/17/2014,93.1342,1886.76
10/20/2014,95.1271,1904.01
10/21/2014,97.7113,1941.28
10/22/2014,98.2071,1927.11
10/23/2014,99.9617,1950.82
10/24/2014,100.3335,1964.58
10/27/2014,100.2287,1961.63
10/28/2014,101.783,1985.05
10/29/2014,102.3551,1982.3
10/30/2014,102.0118,1994.65
10/31/2014,102.9844,2018.05
11/3/2014,104.3194,2017.81
11/4/2014,103.5566,2012.1
11/5/2014,103.8045,2023.57
11/6/2014,104.1014,2031.21
11/7/2014,104.3983,2031.92
11/10/2014,104.2259,2038.26
11/11/2014,105.0591,2039.68
11/12/2014,106.5435,2038.25
